feature,importance
oil,0.11552087636076315
volatility_5d,0.10211485287238087
vix_lag1,0.10020261590116492
volume_ratio,0.0841140146570371
ma_5,0.08238205382025804
treasury_10y,0.0538125356529551
vix,0.053348193565343476
ma_20,0.047840857517468124
return_20d,0.04659872704114314
volume_ma_20,0.045831481305107905
rsi,0.038012862477762976
volume_ma_5,0.03251654851841381
volatility_20d,0.03128140097109464
return_5d,0.02860889142055226
treasury_10y_change,0.022781728308111003
return_1d_lag2,0.01821710950256179
sp500_change,0.014698799795453944
nasdaq_change,0.014257735531437539
oil_change,0.013976024504147628
volume_change,0.01238805617473232
ma_cross_20_50,0.011867327722063616
vix_change,0.01029219671955788
return_1d,0.0072526293651762695
return_1d_lag1,0.006394638037507117
ma_cross_5_20,0.0032545273398655026
ma_50,0.002433314917939791
