n_estimators,max_depth,min_samples_split,min_samples_leaf,train_accuracy,test_accuracy,test_precision,test_recall,test_f1,overfit_gap
50,3,10,5,0.9508196721311475,0.5,0.42857142857142855,1.0,0.6,0.4508196721311475
50,3,15,5,0.9508196721311475,0.5,0.42857142857142855,1.0,0.6,0.4508196721311475
50,5,15,5,0.9508196721311475,0.5,0.42857142857142855,1.0,0.6,0.4508196721311475
50,7,15,5,0.9508196721311475,0.5,0.42857142857142855,1.0,0.6,0.4508196721311475
50,3,20,5,0.9344262295081968,0.5,0.42857142857142855,1.0,0.6,0.43442622950819676
100,7,10,7,0.9344262295081968,0.5,0.42857142857142855,1.0,0.6,0.43442622950819676
100,5,10,10,0.8852459016393442,0.5,0.42857142857142855,1.0,0.6,0.38524590163934425
100,5,15,5,0.9508196721311475,0.5,0.42857142857142855,1.0,0.6,0.4508196721311475
100,5,15,7,0.9344262295081968,0.5,0.42857142857142855,1.0,0.6,0.43442622950819676
100,5,15,10,0.8852459016393442,0.5,0.42857142857142855,1.0,0.6,0.38524590163934425
100,5,20,5,0.9344262295081968,0.5,0.42857142857142855,1.0,0.6,0.43442622950819676
100,5,10,7,0.9344262295081968,0.5,0.42857142857142855,1.0,0.6,0.43442622950819676
100,3,20,10,0.8852459016393442,0.5,0.42857142857142855,1.0,0.6,0.38524590163934425
100,5,10,5,0.9508196721311475,0.5,0.42857142857142855,1.0,0.6,0.4508196721311475
100,3,15,5,0.9508196721311475,0.5,0.42857142857142855,1.0,0.6,0.4508196721311475
100,3,15,7,0.9344262295081968,0.5,0.42857142857142855,1.0,0.6,0.43442622950819676
100,3,15,10,0.8852459016393442,0.5,0.42857142857142855,1.0,0.6,0.38524590163934425
100,3,20,5,0.9344262295081968,0.5,0.42857142857142855,1.0,0.6,0.43442622950819676
100,3,20,7,0.9016393442622951,0.5,0.42857142857142855,1.0,0.6,0.4016393442622951
100,3,10,5,0.9344262295081968,0.5,0.42857142857142855,1.0,0.6,0.43442622950819676
100,3,10,10,0.8852459016393442,0.5,0.42857142857142855,1.0,0.6,0.38524590163934425
100,3,10,7,0.9344262295081968,0.5,0.42857142857142855,1.0,0.6,0.43442622950819676
100,7,20,7,0.9016393442622951,0.5,0.42857142857142855,1.0,0.6,0.4016393442622951
100,7,10,10,0.8852459016393442,0.5,0.42857142857142855,1.0,0.6,0.38524590163934425
100,7,15,5,0.9508196721311475,0.5,0.42857142857142855,1.0,0.6,0.4508196721311475
100,7,15,7,0.9344262295081968,0.5,0.42857142857142855,1.0,0.6,0.43442622950819676
100,7,15,10,0.8852459016393442,0.5,0.42857142857142855,1.0,0.6,0.38524590163934425
100,5,20,7,0.9016393442622951,0.5,0.42857142857142855,1.0,0.6,0.4016393442622951
100,5,20,10,0.8852459016393442,0.5,0.42857142857142855,1.0,0.6,0.38524590163934425
100,7,10,5,0.9508196721311475,0.5,0.42857142857142855,1.0,0.6,0.4508196721311475
100,7,20,10,0.8852459016393442,0.5,0.42857142857142855,1.0,0.6,0.38524590163934425
100,7,20,5,0.9344262295081968,0.5,0.42857142857142855,1.0,0.6,0.43442622950819676
50,7,10,10,0.9344262295081968,0.4375,0.4,1.0,0.5714285714285714,0.49692622950819676
50,5,10,5,0.9508196721311475,0.4375,0.4,1.0,0.5714285714285714,0.5133196721311475
50,3,20,10,0.9344262295081968,0.4375,0.4,1.0,0.5714285714285714,0.49692622950819676
50,3,10,10,0.9344262295081968,0.4375,0.4,1.0,0.5714285714285714,0.49692622950819676
50,3,15,7,0.9344262295081968,0.4375,0.4,1.0,0.5714285714285714,0.49692622950819676
50,3,15,10,0.9344262295081968,0.4375,0.4,1.0,0.5714285714285714,0.49692622950819676
50,3,10,7,0.9344262295081968,0.4375,0.4,1.0,0.5714285714285714,0.49692622950819676
50,7,10,7,0.9344262295081968,0.4375,0.4,1.0,0.5714285714285714,0.49692622950819676
50,7,10,5,0.9508196721311475,0.4375,0.4,1.0,0.5714285714285714,0.5133196721311475
50,5,20,10,0.9344262295081968,0.4375,0.4,1.0,0.5714285714285714,0.49692622950819676
50,5,20,5,0.9344262295081968,0.4375,0.4,1.0,0.5714285714285714,0.49692622950819676
50,5,20,7,0.9180327868852459,0.4375,0.4,1.0,0.5714285714285714,0.4805327868852459
50,5,15,10,0.9344262295081968,0.4375,0.4,1.0,0.5714285714285714,0.49692622950819676
50,5,15,7,0.9344262295081968,0.4375,0.4,1.0,0.5714285714285714,0.49692622950819676
50,3,20,7,0.9180327868852459,0.4375,0.4,1.0,0.5714285714285714,0.4805327868852459
50,5,10,10,0.9344262295081968,0.4375,0.4,1.0,0.5714285714285714,0.49692622950819676
50,5,10,7,0.9344262295081968,0.4375,0.4,1.0,0.5714285714285714,0.49692622950819676
50,7,20,7,0.9180327868852459,0.4375,0.4,1.0,0.5714285714285714,0.4805327868852459
50,7,20,10,0.9344262295081968,0.4375,0.4,1.0,0.5714285714285714,0.49692622950819676
50,7,20,5,0.9344262295081968,0.4375,0.4,1.0,0.5714285714285714,0.49692622950819676
50,7,15,10,0.9344262295081968,0.4375,0.4,1.0,0.5714285714285714,0.49692622950819676
50,7,15,7,0.9344262295081968,0.4375,0.4,1.0,0.5714285714285714,0.49692622950819676
